Município;Sexo;Faixa Etária;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Adrianópolis;Feminino;0 a 9 anos;704;681;660;639;619;599;580;562;544;527;511;502;493;485;476;468;460;452;444;437;429;422;415
Adrianópolis;Feminino;10 a 19 anos;823;798;775;752;730;708;687;667;647;628;610;598;587;576;565;555;545;534;524;515;505;496;487
Adrianópolis;Feminino;20 a 29 anos;437;435;434;433;431;430;429;427;426;425;424;420;417;413;410;406;403;400;396;393;390;387;384
Adrianópolis;Feminino;30 a 39 anos;439;432;426;420;413;407;401;396;390;384;379;380;382;384;385;387;389;391;392;394;396;398;400
Adrianópolis;Feminino;40 a 49 anos;338;343;348;353;359;364;370;376;382;388;394;394;395;395;396;397;397;398;399;399;400;401;402
Adrianópolis;Feminino;50 a 59 anos;275;279;283;287;291;295;300;304;308;313;318;324;330;337;344;350;357;365;372;379;387;395;403
Adrianópolis;Feminino;60 a 69 anos;218;219;221;223;225;226;228;230;232;234;236;241;246;251;257;262;268;274;280;286;292;298;305
Adrianópolis;Feminino;70 a 79 anos;131;133;136;139;142;145;148;151;155;158;162;164;167;170;173;176;179;182;185;189;192;195;199
Adrianópolis;Feminino;80 anos ou mais;55;53;52;51;50;49;48;47;46;44;44;46;50;53;56;60;64;68;73;78;83;89;95
Adrianópolis;Masculino;0 a 9 anos;827;793;761;730;701;673;646;620;595;571;548;534;521;508;495;483;471;460;448;437;426;416;406
Adrianópolis;Masculino;10 a 19 anos;827;815;803;792;780;769;758;747;736;726;716;693;671;649;629;609;589;571;553;535;518;501;486
Adrianópolis;Masculino;20 a 29 anos;455;452;449;446;443;440;437;434;431;428;426;426;426;426;426;426;426;426;426;426;426;426;426
Adrianópolis;Masculino;30 a 39 anos;417;412;408;404;400;397;393;389;385;381;378;380;382;384;386;389;391;393;395;398;400;402;405
Adrianópolis;Masculino;40 a 49 anos;372;373;374;375;376;377;378;379;380;381;383;386;389;392;395;398;401;404;407;411;414;417;421
Adrianópolis;Masculino;50 a 59 anos;281;288;295;303;311;319;327;336;344;353;363;366;369;372;376;379;382;386;389;393;396;400;404
Adrianópolis;Masculino;60 a 69 anos;251;249;248;247;245;244;243;241;240;239;238;245;252;260;268;276;285;294;303;312;321;331;342
Adrianópolis;Masculino;70 a 79 anos;125;128;132;136;140;144;148;152;156;161;166;168;170;173;175;177;180;182;185;188;190;193;196
Adrianópolis;Masculino;80 anos ou mais;56;58;60;62;64;66;69;71;74;77;80;79;79;79;78;78;78;78;77;77;77;77;77
Agudos do Sul;Feminino;0 a 9 anos;755;739;724;709;695;681;667;654;640;627;615;621;627;633;640;646;653;659;666;673;680;687;694
Agudos do Sul;Feminino;10 a 19 anos;666;677;688;700;712;724;736;749;761;774;788;782;776;770;765;759;753;748;742;737;731;726;721
Agudos do Sul;Feminino;20 a 29 anos;558;561;565;568;572;575;579;582;586;590;594;606;618;631;644;657;670;684;698;712;727;741;757
Agudos do Sul;Feminino;30 a 39 anos;474;480;487;493;500;507;514;521;528;535;543;553;563;573;584;594;605;617;628;639;651;663;676
Agudos do Sul;Feminino;40 a 49 anos;357;372;387;404;421;439;457;476;497;518;540;546;553;560;566;573;580;588;595;602;609;617;625
Agudos do Sul;Feminino;50 a 59 anos;265;276;288;301;314;328;342;357;373;389;407;421;436;452;468;485;502;520;539;558;578;599;621
Agudos do Sul;Feminino;60 a 69 anos;192;199;207;215;223;231;240;250;259;269;280;294;309;325;342;360;379;399;419;441;464;488;514
Agudos do Sul;Feminino;70 a 79 anos;101;104;108;112;116;120;124;128;133;138;143;149;157;164;172;181;189;199;208;218;229;240;252
Agudos do Sul;Feminino;80 anos ou mais;53;53;53;53;53;53;53;53;53;53;54;56;59;62;65;69;72;76;80;84;88;93;98
Agudos do Sul;Masculino;0 a 9 anos;836;810;786;763;740;718;696;675;655;636;617;627;637;648;659;670;681;693;704;716;728;740;753
Agudos do Sul;Masculino;10 a 19 anos;772;781;792;802;812;823;833;844;855;866;878;862;847;833;818;804;790;776;763;750;737;724;712
Agudos do Sul;Masculino;20 a 29 anos;613;615;618;620;623;625;628;631;633;636;639;649;660;671;682;693;704;716;727;739;752;764;777
Agudos do Sul;Masculino;30 a 39 anos;595;598;601;605;608;612;615;619;622;626;630;635;641;647;653;659;665;671;677;683;690;696;703
Agudos do Sul;Masculino;40 a 49 anos;384;401;420;440;460;481;504;527;552;578;605;613;622;631;641;650;660;669;679;689;699;709;720
Agudos do Sul;Masculino;50 a 59 anos;266;279;293;307;323;339;356;374;392;412;433;449;467;485;504;524;545;566;588;611;635;660;686
Agudos do Sul;Masculino;60 a 69 anos;214;221;229;237;246;255;264;273;283;293;304;319;335;352;370;389;408;429;451;474;498;523;550
Agudos do Sul;Masculino;70 a 79 anos;99;104;109;115;121;128;134;142;149;157;166;173;180;188;197;205;214;224;234;244;255;266;278
Agudos do Sul;Masculino;80 anos ou mais;22;22;24;25;26;27;28;29;31;32;34;37;40;44;48;52;57;62;67;74;80;88;96
Almirante Tamandaré;Feminino;0 a 9 anos;10273;10096;9923;9752;9585;9420;9258;9099;8943;8789;8639;8651;8663;8676;8688;8700;8713;8725;8738;8750;8762;8775;8788
Almirante Tamandaré;Feminino;10 a 19 anos;9200;9310;9422;9536;9651;9767;9885;10004;10124;10246;10370;10235;10102;9971;9842;9715;9589;9464;9342;9220;9101;8983;8867
Almirante Tamandaré;Feminino;20 a 29 anos;8083;8188;8295;8403;8513;8624;8737;8851;8967;9084;9203;9264;9327;9390;9453;9517;9581;9645;9710;9776;9841;9908;9975
Almirante Tamandaré;Feminino;30 a 39 anos;7111;7237;7367;7498;7632;7768;7907;8048;8191;8338;8487;8602;8719;8838;8958;9080;9204;9330;9457;9585;9716;9848;9983
Almirante Tamandaré;Feminino;40 a 49 anos;4712;4897;5089;5290;5498;5714;5939;6172;6415;6667;6930;7082;7238;7398;7561;7728;7898;8072;8250;8432;8617;8807;9002
Almirante Tamandaré;Feminino;50 a 59 anos;2582;2734;2895;3065;3246;3437;3639;3854;4081;4321;4576;4730;4890;5056;5227;5404;5586;5775;5971;6173;6381;6597;6821
Almirante Tamandaré;Feminino;60 a 69 anos;1438;1507;1580;1657;1737;1821;1910;2002;2099;2201;2308;2443;2586;2737;2898;3068;3248;3438;3639;3853;4078;4317;4571
Almirante Tamandaré;Feminino;70 a 79 anos;586;627;672;720;772;827;886;949;1017;1090;1168;1220;1275;1332;1392;1455;1520;1589;1660;1735;1813;1894;1980
Almirante Tamandaré;Feminino;80 anos ou mais;179;193;208;225;243;263;284;307;331;358;387;411;437;464;494;525;558;593;631;670;713;758;806
Almirante Tamandaré;Masculino;0 a 9 anos;10469;10318;10169;10023;9878;9736;9596;9457;9321;9187;9055;9072;9090;9107;9125;9143;9160;9178;9196;9214;9232;9250;9268
Almirante Tamandaré;Masculino;10 a 19 anos;9418;9522;9627;9733;9841;9949;10059;10171;10283;10397;10512;10415;10319;10223;10129;10036;9943;9851;9761;9671;9581;9493;9406
Almirante Tamandaré;Masculino;20 a 29 anos;8203;8287;8371;8457;8544;8631;8720;8809;8899;8990;9083;9127;9171;9216;9261;9306;9351;9397;9442;9488;9534;9581;9628
Almirante Tamandaré;Masculino;30 a 39 anos;6818;6950;7084;7222;7362;7504;7650;7798;7949;8103;8261;8338;8416;8494;8574;8654;8735;8817;8899;8982;9066;9151;9237
Almirante Tamandaré;Masculino;40 a 49 anos;4669;4826;4989;5158;5332;5512;5698;5891;6090;6296;6509;6677;6849;7026;7207;7393;7584;7780;7981;8187;8398;8615;8838
Almirante Tamandaré;Masculino;50 a 59 anos;2552;2689;2834;2986;3147;3317;3495;3684;3882;4091;4312;4454;4602;4754;4911;5074;5242;5415;5594;5779;5971;6168;6373
Almirante Tamandaré;Masculino;60 a 69 anos;1252;1328;1410;1497;1589;1686;1790;1900;2016;2140;2272;2378;2490;2607;2729;2857;2991;3132;3279;3433;3594;3763;3940
Almirante Tamandaré;Masculino;70 a 79 anos;595;619;644;670;697;725;755;785;817;850;885;937;993;1052;1115;1181;1252;1326;1405;1489;1578;1672;1772
Almirante Tamandaré;Masculino;80 anos ou mais;137;145;154;163;173;183;195;206;219;232;247;264;283;303;325;348;372;399;427;458;490;525;563
Araucária;Feminino;0 a 9 anos;9676;9615;9556;9496;9438;9379;9321;9263;9205;9148;9092;9198;9306;9415;9525;9637;9750;9864;9980;10097;10216;10335;10457
Araucária;Feminino;10 a 19 anos;9443;9594;9748;9905;10064;10225;10389;10556;10725;10898;11073;11035;10997;10959;10921;10884;10847;10810;10772;10736;10699;10662;10626
Araucária;Feminino;20 a 29 anos;9006;9198;9395;9596;9802;10012;10226;10445;10669;10897;11131;11227;11325;11423;11522;11622;11723;11825;11928;12031;12136;12241;12348
