cod_mun;mun;uf;dppo 1991;dppo 1996;dppo 2000;dppo 2010;dppo 2022;Particular 2022;Particular permanente 2022;Particular permanente não ocupado 2022
1100015;Alta Floresta D'Oeste;RO;7047;7987;6811;7336;7695;10062;10058;2363
1100023;Ariquemes;RO;18979;16814;19259;27240;34768;44114;44098;9330
1100031;Cabixi;RO;1775;1992;1961;1979;1967;2921;2921;954
1100049;Cacoal;RO;17940;18114;19376;24245;31917;40905;40891;8974
1100056;Cerejeiras;RO;4937;5130;4857;5364;5873;7064;7061;1188
1100064;Colorado do Oeste;RO;8419;6097;5853;5963;5991;8146;8146;2155
1100072;Corumbiara;RO;;2598;2640;2655;2840;3920;3918;1078
1100080;Costa Marques;RO;2210;3175;2420;3718;4161;5841;5840;1679
1100098;Espigão D'Oeste;RO;5194;5939;6725;8715;10470;13158;13153;2683
1100106;Guajará-Mirim;RO;7291;8226;9089;10768;11803;15922;15911;4108
1100114;Jaru;RO;13790;11392;13416;15942;18947;24068;24058;5111
1100122;Ji-Paraná;RO;22066;23754;28215;35648;45016;56511;56493;11477
1100130;Machadinho D'Oeste;RO;3667;6271;5681;9188;10841;15073;15020;4179
1100148;Nova Brasilândia D'Oeste;RO;3424;3680;4354;5949;5798;7859;7858;2060
1100155;Ouro Preto do Oeste;RO;17707;12572;10715;11673;13323;16403;16398;3075
1100189;Pimenta Bueno;RO;11070;11818;8480;10076;12351;16442;16431;4080
1100205;Porto Velho;RO;66591;70050;84149;117132;151905;203336;203220;51315
1100254;Presidente Médici;RO;6700;6539;6853;6871;7230;9469;9466;2236
1100262;Rio Crespo;RO;;1429;779;999;1250;1766;1762;512
1100288;Rolim de Moura;RO;13513;10957;12694;15836;20991;25604;25591;4600
1100296;Santa Luzia D'Oeste;RO;2744;2725;2981;2756;2758;3571;3571;813
1100304;Vilhena;RO;9556;11157;14539;23614;34975;42575;42528;7553
1100320;São Miguel do Guaporé;RO;4075;4361;5855;6416;7884;10313;10311;2427
1100338;Nova Mamoré;RO;1583;2564;3355;6443;8447;12058;12032;3585
1100346;Alvorada D'Oeste;RO;4426;4557;4998;5058;4814;6204;6200;1386
1100379;Alto Alegre dos Parecis;RO;;;3073;3713;4036;5179;5175;1139
1100403;Alto Paraíso;RO;;2572;3323;5083;5762;7555;7546;1784
1100452;Buritis;RO;;;6206;9529;9905;13232;13208;3303
1100502;Novo Horizonte do Oeste;RO;;2620;3073;2996;2798;3955;3954;1156
1100601;Cacaulândia;RO;;1169;1324;1697;1483;2270;2269;786
1100700;Campo Novo de Rondônia;RO;;3526;2718;3651;3066;4817;4811;1745
1100809;Candeias do Jamari;RO;;2604;3229;5711;7431;10974;10968;3537
1100908;Castanheiras;RO;;994;1065;1119;1198;1748;1747;549
1100924;Chupinguaia;RO;;;1459;2421;3206;4209;4200;994
1100940;Cujubim;RO;;;1627;4618;5203;7586;7581;2378
1101005;Governador Jorge Teixeira;RO;;2207;3217;3015;2890;4036;4026;1136
1101104;Itapuã do Oeste;RO;;1283;1716;2561;2910;4109;4108;1198
1101203;Ministro Andreazza;RO;;2495;2776;2928;2383;3412;3412;1029
1101302;Mirante da Serra;RO;;2975;3302;3515;3508;4998;4998;1490
1101401;Monte Negro;RO;;2035;3174;4098;4223;5921;5911;1688
1101435;Nova União;RO;;;2003;2103;2230;2882;2873;643
1101450;Parecis;RO;;;921;1403;1482;2377;2377;895
1101468;Pimenteiras do Oeste;RO;;;654;710;740;1216;1204;464
1101476;Primavera de Rondônia;RO;;;1106;1085;1133;1500;1500;367
1101484;São Felipe D'Oeste;RO;;;1757;1816;1962;2422;2422;460
1101492;São Francisco do Guaporé;RO;;;2758;4740;5799;7549;7549;1750
1101500;Seringueiras;RO;;1959;2824;3404;3951;5181;5181;1230
1101559;Teixeirópolis;RO;;;1390;1483;1582;2031;2031;449
1101609;Theobroma;RO;;1793;2727;3155;3007;4378;4377;1370
1101708;Urupá;RO;;3107;3589;3934;3950;5038;5036;1086
1101757;Vale do Anari;RO;;;1957;2810;2800;3912;3887;1087
1101807;Vale do Paraíso;RO;;2100;2454;2441;2446;3452;3450;1004
1200013;Acrelândia;AC;;1416;1872;3473;4461;5700;5690;1229
1200054;Assis Brasil;AC;576;625;807;1539;2426;2994;2992;566
1200104;Brasiléia;AC;4477;3268;4100;5967;8665;10938;10917;2252
1200138;Bujari;AC;;964;1365;2335;4193;5832;5832;1639
1200179;Capixaba;AC;;665;1267;2360;3468;4211;4209;741
1200203;Cruzeiro do Sul;AC;12174;11143;14147;18613;26737;31828;31818;5081
1200252;Epitaciolândia;AC;;2128;2806;4414;6477;8113;8110;1633
1200302;Feijó;AC;3286;4191;5263;7067;9366;11422;11407;2041
1200328;Jordão;AC;;682;738;1305;2003;2450;2444;441
1200336;Mâncio Lima;AC;1836;1709;2305;3602;5678;7059;7043;1365
1200344;Manoel Urbano;AC;1024;987;1228;1868;3242;4004;4002;760
1200351;Marechal Thaumaturgo;AC;;1296;1490;2758;4321;5313;5313;992
1200385;Plácido de Castro;AC;3291;2792;3695;4762;5552;7233;7229;1677
1200393;Porto Walter;AC;;887;1013;1719;2611;3278;3278;667
1200401;Rio Branco;AC;45049;56216;64360;94397;123861;148730;148672;24811
1200427;Rodrigues Alves;AC;;1878;1592;3147;4197;5348;5343;1146
1200435;Santa Rosa do Purus;AC;;267;325;819;1344;1608;1607;263
1200450;Senador Guiomard;AC;3847;3399;4946;5630;6961;9212;9208;2247
1200500;Sena Madureira;AC;4602;4968;6366;9342;12627;14859;14851;2224
1200609;Tarauacá;AC;5152;4545;5168;7522;11273;13606;13592;2319
1200708;Xapuri;AC;2929;2893;3027;4500;6090;7945;7943;1853
1200807;Porto Acre;AC;;1789;2832;4030;5448;7259;7258;1810
1300029;Alvarães;AM;1207;1849;1895;2485;3398;4072;4071;673
1300060;Amaturá;AM;803;1037;1241;1662;2156;2612;2612;456
1300086;Anamã;AM;938;1036;1129;1888;2316;2862;2862;546
1300102;Anori;AM;1626;1796;2135;3076;4147;4777;4777;630
1300144;Apuí;AM;1151;2168;3300;4614;5789;6683;6681;892
