Idade;Faixa Etária
0;0 a 9 anos
1;0 a 9 anos
2;0 a 9 anos
3;0 a 9 anos
4;0 a 9 anos
5;0 a 9 anos
6;0 a 9 anos
7;0 a 9 anos
8;0 a 9 anos
9;0 a 9 anos
10;10 a 19 anos
11;10 a 19 anos
12;10 a 19 anos
13;10 a 19 anos
14;10 a 19 anos
15;10 a 19 anos
16;10 a 19 anos
17;10 a 19 anos
18;10 a 19 anos
19;10 a 19 anos
20;20 a 29 anos
21;20 a 29 anos
22;20 a 29 anos
23;20 a 29 anos
24;20 a 29 anos
25;20 a 29 anos
26;20 a 29 anos
27;20 a 29 anos
28;20 a 29 anos
29;20 a 29 anos
30;30 a 39 anos
31;30 a 39 anos
32;30 a 39 anos
33;30 a 39 anos
34;30 a 39 anos
35;30 a 39 anos
36;30 a 39 anos
37;30 a 39 anos
38;30 a 39 anos
39;30 a 39 anos
40;40 a 49 anos
41;40 a 49 anos
42;40 a 49 anos
43;40 a 49 anos
44;40 a 49 anos
45;40 a 49 anos
46;40 a 49 anos
47;40 a 49 anos
48;40 a 49 anos
49;40 a 49 anos
50;50 a 59 anos
51;50 a 59 anos
52;50 a 59 anos
53;50 a 59 anos
54;50 a 59 anos
55;50 a 59 anos
56;50 a 59 anos
57;50 a 59 anos
58;50 a 59 anos
59;50 a 59 anos
60;60 a 69 anos
61;60 a 69 anos
62;60 a 69 anos
63;60 a 69 anos
64;60 a 69 anos
65;60 a 69 anos
66;60 a 69 anos
67;60 a 69 anos
68;60 a 69 anos
69;60 a 69 anos
70;70 a 79 anos
71;70 a 79 anos
72;70 a 79 anos
73;70 a 79 anos
74;70 a 79 anos
75;70 a 79 anos
76;70 a 79 anos
77;70 a 79 anos
78;70 a 79 anos
79;70 a 79 anos
80;80 anos ou mais
81;80 anos ou mais
82;80 anos ou mais
83;80 anos ou mais
84;80 anos ou mais
85;80 anos ou mais
86;80 anos ou mais
87;80 anos ou mais
88;80 anos ou mais
89;80 anos ou mais
90;80 anos ou mais
91;80 anos ou mais
92;80 anos ou mais
93;80 anos ou mais
94;80 anos ou mais
95;80 anos ou mais
96;80 anos ou mais
97;80 anos ou mais
98;80 anos ou mais
99;80 anos ou mais
100;80 anos ou mais
101;80 anos ou mais
102;80 anos ou mais
103;80 anos ou mais
104;80 anos ou mais
105;80 anos ou mais
106;80 anos ou mais
107;80 anos ou mais
108;80 anos ou mais
109;80 anos ou mais
110;80 anos ou mais
111;80 anos ou mais
112;80 anos ou mais
113;80 anos ou mais
114;80 anos ou mais
115;80 anos ou mais
116;80 anos ou mais
117;80 anos ou mais
118;80 anos ou mais
119;80 anos ou mais
120;80 anos ou mais
121;80 anos ou mais
122;80 anos ou mais
123;80 anos ou mais
124;80 anos ou mais
125;80 anos ou mais
126;80 anos ou mais
127;80 anos ou mais
128;80 anos ou mais
129;80 anos ou mais
