Idade;Faixa Etária
0;até 64 anos
1;até 64 anos
2;até 64 anos
3;até 64 anos
4;até 64 anos
5;até 64 anos
6;até 64 anos
7;até 64 anos
8;até 64 anos
9;até 64 anos
10;até 64 anos
11;até 64 anos
12;até 64 anos
13;até 64 anos
14;até 64 anos
15;até 64 anos
16;até 64 anos
17;até 64 anos
18;até 64 anos
19;até 64 anos
20;até 64 anos
21;até 64 anos
22;até 64 anos
23;até 64 anos
24;até 64 anos
25;até 64 anos
26;até 64 anos
27;até 64 anos
28;até 64 anos
29;até 64 anos
30;até 64 anos
31;até 64 anos
32;até 64 anos
33;até 64 anos
34;até 64 anos
35;até 64 anos
36;até 64 anos
37;até 64 anos
38;até 64 anos
39;até 64 anos
40;até 64 anos
41;até 64 anos
42;até 64 anos
43;até 64 anos
44;até 64 anos
45;até 64 anos
46;até 64 anos
47;até 64 anos
48;até 64 anos
49;até 64 anos
50;até 64 anos
51;até 64 anos
52;até 64 anos
53;até 64 anos
54;até 64 anos
55;até 64 anos
56;até 64 anos
57;até 64 anos
58;até 64 anos
59;até 64 anos
60;até 64 anos
61;até 64 anos
62;até 64 anos
63;até 64 anos
64;até 64 anos
65;65 anos ou mais
66;65 anos ou mais
67;65 anos ou mais
68;65 anos ou mais
69;65 anos ou mais
70;65 anos ou mais
71;65 anos ou mais
72;65 anos ou mais
73;65 anos ou mais
74;65 anos ou mais
75;65 anos ou mais
76;65 anos ou mais
77;65 anos ou mais
78;65 anos ou mais
79;65 anos ou mais
80;65 anos ou mais
81;65 anos ou mais
82;65 anos ou mais
83;65 anos ou mais
84;65 anos ou mais
85;65 anos ou mais
86;65 anos ou mais
87;65 anos ou mais
88;65 anos ou mais
89;65 anos ou mais
90;65 anos ou mais
91;65 anos ou mais
92;65 anos ou mais
93;65 anos ou mais
94;65 anos ou mais
95;65 anos ou mais
96;65 anos ou mais
97;65 anos ou mais
98;65 anos ou mais
99;65 anos ou mais
100;65 anos ou mais
101;65 anos ou mais
102;65 anos ou mais
103;65 anos ou mais
104;65 anos ou mais
105;65 anos ou mais
106;65 anos ou mais
107;65 anos ou mais
108;65 anos ou mais
109;65 anos ou mais
110;65 anos ou mais
111;65 anos ou mais
112;65 anos ou mais
113;65 anos ou mais
114;65 anos ou mais
115;65 anos ou mais
116;65 anos ou mais
117;65 anos ou mais
118;65 anos ou mais
119;65 anos ou mais
120;65 anos ou mais
121;65 anos ou mais
122;65 anos ou mais
123;65 anos ou mais
124;65 anos ou mais
125;65 anos ou mais
126;65 anos ou mais
127;65 anos ou mais
128;65 anos ou mais
129;65 anos ou mais
