faixa_2000_original;Faixa Etária
0 a 4 anos;0 a 9 anos
5 a 9 anos;0 a 9 anos
10 a 14 anos;10 a 19 anos
15 a 19 anos;10 a 19 anos
20 a 24 anos;20 a 29 anos
25 a 29 anos;20 a 29 anos
30 a 34 anos;30 a 39 anos
35 a 39 anos;30 a 39 anos
40 a 44 anos;40 a 49 anos
45 a 49 anos;40 a 49 anos
50 a 54 anos;50 a 59 anos
55 a 59 anos;50 a 59 anos
60 a 64 anos;60 a 69 anos
65 a 69 anos;60 a 69 anos
70 a 74 anos;70 a 79 anos
75 a 79 anos;70 a 79 anos
80 a 84 anos;80 anos ou mais
85 a 89 anos;80 anos ou mais
90 a 94 anos;80 anos ou mais
95 a 99 anos;80 anos ou mais
100 anos ou mais;80 anos ou mais
