faixa_2000_original;Faixa Etária
0 a 4 anos;até 64 anos
5 a 9 anos;até 64 anos
10 a 14 anos;até 64 anos
15 a 19 anos;até 64 anos
20 a 24 anos;até 64 anos
25 a 29 anos;até 64 anos
30 a 34 anos;até 64 anos
35 a 39 anos;até 64 anos
40 a 44 anos;até 64 anos
45 a 49 anos;até 64 anos
50 a 54 anos;até 64 anos
55 a 59 anos;até 64 anos
60 a 64 anos;até 64 anos
65 a 69 anos;65 anos ou mais
70 a 74 anos;65 anos ou mais
75 a 79 anos;65 anos ou mais
80 a 84 anos;65 anos ou mais
85 a 89 anos;65 anos ou mais
90 a 94 anos;65 anos ou mais
95 a 99 anos;65 anos ou mais
100 anos ou mais;65 anos ou mais
