"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Domicílio, espécie";"Domicílio, espécie (código)";"Domicílio, espécie (ordem)";"Moradores, número (operação: Soma)";"Frequência";"Observações"
"9115";"Município (1991)";"310010";"Abadia dos Dourados";"1";"1991";"8004";"1991";"Particular permanente";"1";"1";"6.376";"1759";"1759"
"9115";"Município (1991)";"520010";"Abadiânia";"2";"1991";"8004";"1991";"Particular permanente";"1";"1";"9.329";"2369";"2369"
"9115";"Município (1991)";"310020";"Abaeté";"3";"1991";"8004";"1991";"Particular permanente";"1";"1";"20.386";"5489";"5489"
"9115";"Município (1991)";"150010";"Abaetetuba";"4";"1991";"8004";"1991";"Particular permanente";"1";"1";"99.803";"16405";"16405"
"9115";"Município (1991)";"230010";"Abaiara";"5";"1991";"8004";"1991";"Particular permanente";"1";"1";"7.872";"1597";"1597"
"9115";"Município (1991)";"290010";"Abaíra";"6";"1991";"8004";"1991";"Particular permanente";"1";"1";"8.716";"2023";"2023"
"9115";"Município (1991)";"290020";"Abaré";"7";"1991";"8004";"1991";"Particular permanente";"1";"1";"11.404";"2188";"2188"
"9115";"Município (1991)";"410010";"Abatiá";"8";"1991";"8004";"1991";"Particular permanente";"1";"1";"10.210";"2273";"2273"
"9115";"Município (1991)";"420005";"Abdon Batista";"9";"1991";"8004";"1991";"Particular permanente";"1";"1";"3.231";"740";"740"
"9115";"Município (1991)";"420010";"Abelardo Luz";"10";"1991";"8004";"1991";"Particular permanente";"1";"1";"17.688";"4142";"4142"
"9115";"Município (1991)";"310030";"Abre Campo";"11";"1991";"8004";"1991";"Particular permanente";"1";"1";"18.857";"4117";"4117"
"9115";"Município (1991)";"260005";"Abreu e Lima";"12";"1991";"8004";"1991";"Particular permanente";"1";"1";"76.655";"17198";"17198"
"9115";"Município (1991)";"310040";"Acaiaca";"13";"1991";"8004";"1991";"Particular permanente";"1";"1";"3.573";"823";"823"
"9115";"Município (1991)";"210005";"Açailândia";"14";"1991";"8004";"1991";"Particular permanente";"1";"1";"83.302";"16199";"16199"
"9115";"Município (1991)";"290030";"Acajutiba";"15";"1991";"8004";"1991";"Particular permanente";"1";"1";"12.839";"2865";"2865"
"9115";"Município (1991)";"150020";"Acará";"16";"1991";"8004";"1991";"Particular permanente";"1";"1";"37.042";"6821";"6821"
"9115";"Município (1991)";"230015";"Acarapé";"17";"1991";"8004";"1991";"Particular permanente";"1";"1";"10.185";"2132";"2132"
"9115";"Município (1991)";"230020";"Acaraú";"18";"1991";"8004";"1991";"Particular permanente";"1";"1";"45.347";"8532";"8532"
"9115";"Município (1991)";"240010";"Acari";"19";"1991";"8004";"1991";"Particular permanente";"1";"1";"10.930";"2424";"2424"
"9115";"Município (1991)";"230030";"Acopiara";"20";"1991";"8004";"1991";"Particular permanente";"1";"1";"49.121";"10666";"10666"
"9115";"Município (1991)";"510010";"Acorizal";"21";"1991";"8004";"1991";"Particular permanente";"1";"1";"5.307";"1188";"1188"
"9115";"Município (1991)";"520013";"Acreúna";"22";"1991";"8004";"1991";"Particular permanente";"1";"1";"13.996";"3400";"3400"
"9115";"Município (1991)";"240020";"Açu";"23";"1991";"8004";"1991";"Particular permanente";"1";"1";"43.335";"9033";"9033"
