cod_mun;mun;uf;AVG MDPPO 1991;AVG MDPPO 1996;AVG MPPO 2000;AVG MDPPO 2007;AVG MDPPO 2010;AVG MDPPO 2022;MDPPO 1991;MDPPO 1996;MPPO 2000;MDPPO 2007;MDPPO 2010;MDPPO 2022;DPPO 1991;DPPO 1996;DPPO 2000;DPPO 2007;DPPO 2010;DPPO 2022;DPP 2022;DPPV 2022;DPPUO 2022
1100015;Alta Floresta D'Oeste;RO;4,52;4,17;3,90;3,51;3,31;2,79;31870;33292;25951;23783;24075;21440;7047;7987;6658;6782;7270;7695;10058;1394;969
1100023;Ariquemes;RO;4,38;4,05;3,88;3,51;3,30;2,77;83208;68137;71874;81720;89737;96152;18979;16814;18527;23269;27166;34768;44098;6586;2744
1100031;Cabixi;RO;4,54;4,13;3,84;3,38;3,19;2,72;8064;8228;7488;6490;6304;5351;1775;1992;1952;1920;1975;1967;2921;505;449
1100049;Cacoal;RO;4,39;4,02;3,79;3,39;3,24;2,71;78752;72778;73271;75817;78336;86494;17940;18114;19322;22338;24215;31917;40891;4870;4104
1100056;Cerejeiras;RO;4,36;4,09;3,74;3,23;3,17;2,69;21515;20970;18063;16237;16946;15798;4937;5130;4826;5032;5348;5873;7061;819;369
1100064;Colorado do Oeste;RO;4,62;4,08;3,74;3,28;3,11;2,61;38859;24864;21563;17535;18529;15663;8419;6097;5760;5354;5959;5991;8146;1261;894
1100072;Corumbiara;RO;;4,34;3,96;3,41;3,26;2,64;;11275;10410;9363;8628;7503;;2598;2627;2744;2649;2840;3918;678;400
1100080;Costa Marques;RO;4,60;4,27;4,21;3,80;3,65;3,01;10164;13548;10060;13487;13502;12526;2210;3175;2387;3550;3696;4161;5840;990;689
1100098;Espigão D'Oeste;RO;4,42;4,04;3,82;3,46;3,29;2,80;22967;24018;25154;27753;28558;29329;5194;5939;6591;8032;8683;10470;13153;1724;959
1100106;Guajará-Mirim;RO;4,43;4,39;4,15;3,82;3,75;3,30;32311;36102;37515;35829;40036;38963;7291;8226;9033;9384;10684;11803;15911;2858;1250
1100114;Jaru;RO;4,59;4,21;3,93;3,45;3,25;2,66;63357;47981;53369;52063;51769;50354;13790;11392;13566;15109;15910;18947;24058;4055;1056
1100122;Ji-Paraná;RO;4,40;3,99;3,77;3,44;3,26;2,75;97113;94705;105816;106819;115834;123752;22066;23754;28084;31040;35567;45016;56493;8949;2528
1100130;Machadinho D'Oeste;RO;4,46;4,41;4,00;3,65;3,39;2,81;16370;27642;22237;31183;31009;30428;3667;6271;5564;8549;9154;10841;15020;3056;1123
1100148;Nova Brasilândia D'Oeste;RO;4,60;4,18;3,93;3,47;3,32;2,70;15748;15377;16578;16942;19655;15674;3424;3680;4221;4887;5916;5798;7858;1486;574
1100155;Ouro Preto do Oeste;RO;4,70;4,14;3,82;3,45;3,24;2,61;83140;52095;40670;35832;37723;34833;17707;12572;10659;10400;11652;13323;16398;2310;765
1100189;Pimenta Bueno;RO;4,36;4,05;3,73;3,44;3,35;2,81;48307;47900;31464;32408;33586;34768;11070;11818;8427;9416;10037;12351;16431;2484;1596
1100205;Porto Velho;RO;4,28;4,17;3,97;3,61;3,60;3,01;285139;292399;332428;363756;420519;457093;66591;70050;83744;100628;116863;151905;203220;36199;15116
1100254;Presidente Médici;RO;4,48;4,20;3,84;3,40;3,25;2,67;29991;27491;26145;22087;22214;19274;6700;6539;6803;6498;6842;7230;9466;1716;520
1100262;Rio Crespo;RO;;4,04;3,78;3,44;3,30;2,76;;5773;2920;3121;3287;3456;;1429;772;908;997;1250;1762;288;224
1100288;Rolim de Moura;RO;4,40;4,00;3,73;3,37;3,18;2,67;59485;43783;47097;48439;50277;56137;13513;10957;12628;14365;15790;20991;25591;3792;808
1100296;Santa Luzia D'Oeste;RO;4,47;4,12;3,89;3,39;3,22;2,68;12262;11223;11539;9182;8842;7391;2744;2725;2965;2706;2746;2758;3571;654;159
1100304;Vilhena;RO;4,08;3,98;3,69;3,37;3,21;2,73;38975;44394;53465;65991;75551;95329;9556;11157;14506;19584;23506;34975;42528;5321;2232
1100320;São Miguel do Guaporé;RO;4,70;4,32;4,09;3,60;3,40;2,73;19153;18840;23658;22524;21719;21548;4075;4361;5791;6264;6391;7884;10311;1945;482
1100338;Nova Mamoré;RO;4,51;5,24;4,42;3,61;3,50;3,00;7142;13446;14431;20943;22318;25363;1583;2564;3264;5803;6377;8447;12032;2373;1212
1100346;Alvorada D'Oeste;RO;4,73;4,29;3,96;3,48;3,33;2,72;20956;19570;19745;16341;16695;13104;4426;4557;4981;4689;5011;4814;6200;947;439
1100379;Alto Alegre dos Parecis;RO;;;4,22;3,68;3,45;2,84;;;12662;11580;12767;11460;;;3001;3143;3696;4036;5175;792;347
1100403;Alto Paraíso;RO;;4,14;3,98;3,57;3,37;2,83;;10641;12110;16654;17106;16289;;2572;3040;4667;5071;5762;7546;1285;499
1100452;Buritis;RO;;;4,09;3,63;3,40;2,81;;;24460;32669;32218;27827;;;5975;9002;9476;9905;13208;2399;904
1100502;Novo Horizonte do Oeste;RO;;4,22;3,99;3,57;3,42;2,74;;11046;12221;9634;10203;7663;;2620;3060;2698;2983;2798;3954;853;303
1100601;Cacaulândia;RO;;4,37;4,04;3,51;3,38;2,80;;5107;5358;5538;5726;4145;;1169;1325;1578;1692;1483;2269;444;342
1100700;Campo Novo de Rondônia;RO;;4,32;4,23;3,67;3,47;2,88;;15248;11310;12367;12616;8818;;3526;2676;3370;3637;3066;4811;1049;696
1100809;Candeias do Jamari;RO;;4,07;4,07;3,74;3,47;3,00;;10594;12876;16409;19702;22282;;2604;3167;4386;5685;7431;10968;2356;1181
1100908;Castanheiras;RO;;4,21;3,96;3,56;3,20;2,70;;4182;4190;3602;3548;3229;;994;1057;1011;1108;1198;1747;392;157
1100924;Chupinguaia;RO;;;3,78;3,62;3,43;2,90;;;5472;7190;8035;9285;;;1449;1986;2345;3206;4200;599;395
1100940;Cujubim;RO;;;4,01;3,59;3,43;2,85;;;6464;13288;15760;14825;;;1612;3700;4591;5203;7581;1718;660
